Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;18;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;7060;PEÇAS E ACESSÓRIOS PARA COMPUTADORES;14300;GABINETE PARA COMPUTADOR;362833;COR: PRETA, PADRÃO: ATX, TIPO: 4 BAIAS;UN;25,0000;173,3000;4332,5000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;19;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;5935;CONECTORES ELÉTRICOS;15560;CONECTOR;333463;APLICAÇÃO: CABEAMENTO ESTRUTURADO DE REDE DE INFORMÁTICA, MATERIAL: PLÁSTICO RÍGIDO, TIPO: RJ 45 MACHO;UN;5,0000;72,4600;362,3000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;20;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;6145;FIOS E CABOS ELÉTRICOS;4009;CABO ELÉTRICO FLEXÍVEL;610168;APLICAÇÃO: CABEAMENTO ESTRUTURADO, BITOLA: 95,0, CARACTERÍSTICAS ADICIONAIS: EXTRA FLEXÍVEL, CLASSE ENCORDOAMENTO: 5, COMPRIMENTO: 100, COR DA COBERTURA: VERDE, MATERIAL COBERTURA: EPR ANTI-CHAMA, MATERIAL DO CONDUTOR: COBRE NU, MATERIAL ISOLAMENTO: COMPOSTO TERMOFIXO P/HEPR, NORMAS TÉCNICAS: NBR 5410, NBR 7286, NBR NM 280, QUANTIDADE CONDUTORES: 1, SEÇÃO NOMINAL: 50, TEMPERATURA OPERAÇÃO: 90, TENSÃO ISOLAMENTO: 0,6/1, TIPO: ANTI-CHAMA, TÊMPERA CONDUTOR: MOLE;UN;50,0000;19,2300;961,5000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;21;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;6145;FIOS E CABOS ELÉTRICOS;14943;CABO ÁUDIO E VÍDEO;463303;APLICAÇÃO: EQUIPAMENTOS DE INFORMÁTICA, COMPRIMENTO: 3, CONECTORES: VGA MACHO, MATERIAL CONDUTOR: COBRE, MATERIAL CONECTOR: METAL INOX, MATERIAL ISOLAMENTO CONDUTOR: EMBORRACHADO, TIPO CABO: PADRÃO VGA;UN;30,0000;14,0100;420,3000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;22;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;6145;FIOS E CABOS ELÉTRICOS;14943;CABO ÁUDIO E VÍDEO;479549;APLICAÇÃO: VÍDEO TV PROJETORES DVDS RECEIVERS SINAIS S-VHS, CARACTERÍSTICAS ADICIONAIS: BALANCEADO, BLINDADO E FLEXÍVEL, CONECTORES: MACHO-MACHO, MATERIAL CONDUTOR: COBRE, TIPO CABO: HDMI;UN;10,0000;55,6500;556,5000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;23;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;18073;CANETA - INDICADOR;447661;APLICAÇÃO: APRESENTADOR DE SLIDES COM LASER POINTER, CARACTERÍSTICAS ADICIONAIS: SEM FIO, ALCANCE 15 METROS, INTERFACE USB, ESTOJO, MATERIAL: AÇO, TIPO INDICADOR: LASER;UN;5,0000;156,1900;780,9500;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;24;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;6135;BATERIAS NAO RECARREGÁVEIS;3479;BATERIA NÃO RECARREGÁVEL;411291;MODELO: CR-2032, SISTEMA ELETROQUÍMICO: LITHIUM, TENSÃO NOMINAL: 3, TIPO: BUTTON CELL;UN;25,0000;16,3800;409,5000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;25;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;7090;SUPRIMENTOS DE INFORMÁTICA - TIC;240;MOUSE PAD;466470;APLICAÇÃO: USO DE MOUSE, CARACTERÍSTICAS ADICIONAIS: ALTURA DUPLA DE ALMOFADA PARA APOIO DO PUNHO, COR: VERDE, MATERIAL: ESPUMA POLIURETANO SEMI-RÍGIDA, TAMANHO ALMOFADA: 140 X 55 X 18, TAMANHO PLATAFORMA: 205 X 240 X 8;UN;50,0000;13,5900;679,5000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;26;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;7060;PEÇAS E ACESSÓRIOS PARA COMPUTADORES;5409;MOUSE COMPUTADOR;462261;CONECTIVIDADE: COM FIO, SENSOR: COM ESFERA, TAMANHO: PADRÃO, TIPO CONECTOR: USB;UN;40,0000;22,0700;882,8000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;27;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;6130;CONVERSORES ELÉTRICOS ESTÁTICOS;7709;FONTE ALIMENTAÇÃO;336833;APLICAÇÃO: MICROCOMPUTADOR, CARACTERÍSTICAS ADICIONAIS: ATX 24 PINOS/VENTOINHA ÚNICA DE 12 CM, COMPATIBILIDADE: PADRÃO ATX, POTÊNCIA: 550, TENSÃO ALIMENTAÇÃO: 12;UN;35,0000;152,1200;5324,2000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;28;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;7080;PEÇAS, ACESSÓRIOS E FERRAMENTAS PARA REDES DE TIC;208;CABO REDE COMPUTADOR;467549;APLICAÇÃO: CONEXÃO DE REDE, BITOLA CONDUTOR: 24, CARACTERÍSTICAS ADICIONAIS: CABO UTP BLINDADO COM MARCAÇÃO SEQÜENCIAL MÉTRICA, CATEGORIA: 6E, COMPRIMENTO: 305, COR: AZUL, MATERIAL CONDUTOR: COBRE NÚ, MATERIAL ISOLAMENTO CONDUTOR: PVC NÃO PROPAGANTE À CHAMA, MATERIAL REVESTIMENTO: POLIETILENO ESPECIAL, PADRÃO CABEAMENTO: COM BLINDAGEM HELICOIDAL EM FITA METALIZADA, TIPO CABO: 6 E, TIPO CONDUTOR: TRANÇADO 4 PARES;CX;6,0000;922,4900;5534,9400;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;29;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;7030;EQUIPAMENTOS DE ARMAZENAMENTO DE DADOS;216;DISCO MAGNÉTICO;452506;MEMÓRIA: 480, MODELO: SSD, TIPO: RÍGIDO, VELOCIDADE TRANSFERÊNCIA: 6.0;UN;25,0000;252,5500;6313,7500;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;30;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;6140;BATERIAS RECARREGÁVEIS;18982;BATERIA ESTACIONÁRIA ALTA CAPACIDADE;483860;APLICAÇÃO: NOBREAK, CAPACIDADE NOMINAL: 7, DIMENSÕES: 151 X 65 X 94, GARANTIA: 1 ANO PARA REPARO OU SUBSTITUIÇÃO, SISTEMA ELETROQUÍMICO: CHUMBO-ÁCIDO SELADO, TENSÃO NOMINAL: 12, TIPO: SELADA VRLA(REGULADAS POR VÁLVULAS);UN;60,0000;171,3000;10278,0000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;31;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;7030;EQUIPAMENTOS DE ARMAZENAMENTO DE DADOS;17653;DISCO RÍGIDO REMOVÍVEL;610794;APLICAÇÃO: SERVIDOR DE REDE, CAPACIDADE MEMÓRIA: 1, DIMENSÕES: 2,5, INTERFACE: SATA 3.0, VELOCIDADE TRANSFERÊNCIA: 6;UN;4,0000;1079,8500;4319,4000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;32;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;7030;EQUIPAMENTOS DE ARMAZENAMENTO DE DADOS;17653;DISCO RÍGIDO REMOVÍVEL;457598;APLICAÇÃO: SERVIDOR DE REDE, CAPACIDADE MEMÓRIA: 4, CARACTERÍSTICAS ADICIONAIS: MEMÓRIA CACHE IGUAL OU SUPERIOR A 128 MB, INTERFACE: SATA 3.0, VELOCIDADE: 7.200, VELOCIDADE TRANSFERÊNCIA: 300;UN;2,0000;1607,9700;3215,9400;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;33;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;5836;EQUIPAMENTOS PARA GRAVAÇÃO E REPRODUÇÃO DE VÍDEO;14650;CÂMERA VIDEOCONFERÊNCIA;608694;CARACTERÍSTICAS ADICIONAIS: WEBCAM USB COM MICROFONE EMBUTIDO, RESOLUÇÃO: 1280 X 1024, TIPO LENTE: FOCO AUTOMÁTICO, VELOCIDADE TRANSMISSÃO VÍDEO: 30;UN;5,0000;288,6300;1443,1500;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;34;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;5999;COMPONENTES ELÉTRICOS E ELETRÔNICOS DIVERSOS;11575;RÉGUA ELÉTRICA;378327;CARACTERÍSTICAS ADICIONAIS: COM FURO P/FIXAÇÃO/ CHAVE LIGA/DESLIGA, MATERIAL: CHAPA AÇO SAE 1010, POTÊNCIA NOMINAL: 1200, QUANTIDADE TOMADAS SAÍDA: 5 (2P +T/2P/PINO CHATO PADRÃO AMERICANO/PINO CHATO;UN;5,0000;39,6000;198,0000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;35;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;5965;FONES, MICROFONES E ALTO-FALANTES;9732;MICROFONE;480211;ACESSÓRIOS: CABO DE NO MÍNIMO 1,5M, APLICAÇÃO: VIDEOCONFERÊNCIA, CARACTERÍSTICAS ADICIONAIS: CONECTOR USB, PLUG AND PLAY, PADRÃO: OMNIDIRECIONAL, RESPOSTA FREQÜÊNCIA: 60 HZ - 17, TIPO: DE MESA;UN;4,0000;244,3000;977,2000;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;36;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;5965;FONES, MICROFONES E ALTO-FALANTES;7703;FONE OUVIDO;620512;ACOPLAMENTO AURICULAR: SOBRE AS ORELHAS, APLICAÇÃO: COMPUTADOR, CARACTERÍSTICAS ADICIONAIS: MICROFONE E ARO AJUSTÁVEL, COMPRIMENTO FIO: 1,80, CONECTOR: USB 2.0, COR: PRETA, TIPO: HEADSET, TIPO FONE: ARCO, TIPO MICROFONE: UNIDIRECIONAL;UN;4,0000;108,4400;433,7600;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;37;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;7060;PEÇAS E ACESSÓRIOS PARA COMPUTADORES;15410;ADAPTADOR CONECTOR;470246;APLICAÇÃO: INFORMÁTICA, CARACTERÍSTICAS ADICIONAIS: INTERFACE USB 2.0 A 3.0, TIPO CONECTORES: ADAPTADOR USB PARA RJ45, VELOCIDADE: 100/1000;UN;5,0000;86,6300;433,1500;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;38;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;3590;EQUIPAMENTOS DIVERSOS PARA SERVIÇOS PROFISSIONAIS E  COMERCIAIS;16887;EQUIPAMENTOS DIVERSOS PARA SERVIÇOS PROFISSIONAIS;624349;CARACTERISTICAS ADICIONAIS 3: DISPLAY CRISTAL LÍQUIDO DE 5 DÍGITOS, FREQÜÊNCIA:, PADRÃO: DIGITAL, PRECISÃO: ± (5% + 2 D) LEITURA, 160HZ, 80HZ, TEMPERATURA OPERAÇÃO: ± 5., TIPO 2: MEDIDOR DE VIBRAÇÃO, USO 2: FUNÇÃO PICO (PEAK):, FUNÇÃO P-P:, FUNÇÃO MAX-HOLD;UN;3,0000;124,6800;374,0400;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;39;Material;788000-13/2025;Contratação de empresa especializada para a execução do serviço de reestruturação de rede lógica;Catálogo do Compras.gov.br;Material;5120;FERRAMENTAS MANUAIS SEM CORTE, NÃO ACIONADAS  POR  FORÇA  MOTRIZ;13975;CONJUNTO CHAVES COMBINADAS;601979;CARACTERÍSTICAS ADICIONAIS: INCLINAÇÃO DA BOCA EM RELAÇÃO AO CORPO DE 15º, MATERIAL: AÇO CROMO VANÁDIO, QUANTIDADE DE PEÇAS: 9, TAMANHO: 8, 10, 11, 12, 13, 14, 15, 17 E 19, TIPO: BOCA + ESTRELA, TRATAMENTO SUPERFICIAL: NIQUELADO E CROMADO;UN;3,0000;68,3400;205,0200;0,0000;17/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;53;Material;788000-16/2025;Material para o paiol;Catálogo do Compras.gov.br;Material;9310;PAPÉIS E PAPELÕES;19746;PAPEL PARA IMPRESSÃO FORMATADO;471762;COR: BRANCO, GRAMATURA: 90, TAMANHO (C X L): 297 X 210, TIPO: SULFITE/APERGAMINHADO/OFÍCIO;EMB;194,0000;31,4100;6093,5400;0,0000;31/07/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;54;Material;788000-16/2025;Material para o paiol;Catálogo do Compras.gov.br;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;715;ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES;429225;CARACTERÍSTICAS ADICIONAIS: GEL, CONCENTRAÇÃO: 70%, TIPO: ETÍLICO HIDRATADO;FR;36,0000;8,1700;294,1200;0,0000;31/07/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;55;Material;788000-16/2025;Material para o paiol;Catálogo do Compras.gov.br;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;715;ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES;481012;APLICAÇÃO: LIMPEZA, CARACTERÍSTICAS ADICIONAIS: LÍQUIDO, CONCENTRAÇÃO: 70%, TIPO: ETÍLICO;FR;150,0000;8,2700;1240,5000;0,0000;31/07/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;40;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;7030;EQUIPAMENTOS DE ARMAZENAMENTO DE DADOS;216;DISCO MAGNÉTICO;452506;MEMÓRIA: 480, MODELO: SSD, TIPO: RÍGIDO, VELOCIDADE TRANSFERÊNCIA: 6.0;UN;5,0000;252,5500;1262,7500;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;41;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;7030;EQUIPAMENTOS DE ARMAZENAMENTO DE DADOS;17653;DISCO RÍGIDO REMOVÍVEL;457598;APLICAÇÃO: SERVIDOR DE REDE, CAPACIDADE MEMÓRIA: 4, CARACTERÍSTICAS ADICIONAIS: MEMÓRIA CACHE IGUAL OU SUPERIOR A 128 MB, INTERFACE: SATA 3.0, VELOCIDADE: 7.200, VELOCIDADE TRANSFERÊNCIA: 300;UN;3,0000;1419,8100;4259,4300;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;42;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;6140;BATERIAS RECARREGÁVEIS;18982;BATERIA ESTACIONÁRIA ALTA CAPACIDADE;483860;APLICAÇÃO: NOBREAK, CAPACIDADE NOMINAL: 7, DIMENSÕES: 151 X 65 X 94, GARANTIA: 1 ANO PARA REPARO OU SUBSTITUIÇÃO, SISTEMA ELETROQUÍMICO: CHUMBO-ÁCIDO SELADO, TENSÃO NOMINAL: 12, TIPO: SELADA VRLA(REGULADAS POR VÁLVULAS);UN;25,0000;106,1500;2653,7500;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;43;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;6140;BATERIAS RECARREGÁVEIS;18982;BATERIA ESTACIONÁRIA ALTA CAPACIDADE;483857;APLICAÇÃO: NOBREAK, CAPACIDADE NOMINAL: 18, DIMENSÕES: 175 X 82 X 185, GARANTIA: 1 ANO PARA REPARO OU SUBSTITUIÇÃO, SISTEMA ELETROQUÍMICO: CHUMBO-ÁCIDO SELADO, TENSÃO NOMINAL: 12, TIPO: SELADA VRLA(REGULADAS POR VÁLVULAS);UN;10,0000;254,2900;2542,9000;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;44;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;5935;CONECTORES ELÉTRICOS;15560;CONECTOR;375963;APLICAÇÃO: CABO DE REDE, CATEGORIA: 6, TIPO: MACHO, PADRÃO: RJ45;PCT;5,0000;45,8300;229,1500;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;45;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;7080;PEÇAS, ACESSÓRIOS E FERRAMENTAS PARA REDES DE TIC;208;CABO REDE COMPUTADOR;465402;APLICAÇÃO: REDE ESTRUTURADA, CATEGORIA: 6, COMPRIMENTO: 305, COR: VERMELHA, MATERIAL CONDUTOR: COBRE NÚ, MATERIAL ISOLAMENTO CONDUTOR: POLIETILENO DE ALTA DENSIDADE, MATERIAL REVESTIMENTO: PVC - CLORETO DE POLIVINILA ANTI-CHAMA, NORMAS TÉCNICAS: ANSI/TIA 568 C.2 - ISO/IEC -11801, PADRÃO CABEAMENTO: GIGALAN, TIPO CABO: UTP, TIPO CONDUTOR: PAR TRANÇADO;CX;5,0000;922,4900;4612,4500;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;46;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;6130;CONVERSORES ELÉTRICOS ESTÁTICOS;7709;FONTE ALIMENTAÇÃO;617030;APLICAÇÃO: MICROCOMPUTADOR, FREQUÊNCIA NOMINAL: 60, MODELO: ATX, POTÊNCIA NOMINAL: 500, TENSÃO ALIMENTAÇÃO: 110 / 220, TIPO: CHAVEADA;UN;10,0000;238,7900;2387,9000;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;47;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;5805;EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO;14750;CONECTOR TELEFÔNICO;391414;CARACTERÍSTICAS ADICIONAIS: PLÁSTICO NA COR AZUL, MODELO: 101 E, TIPO: EMENDA BARGOA;UN;5,0000;52,9900;264,9500;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;48;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;7030;EQUIPAMENTOS DE ARMAZENAMENTO DE DADOS;17653;DISCO RÍGIDO REMOVÍVEL;462181;APLICAÇÃO: COMPUTADOR, CAPACIDADE MEMÓRIA: 4, CARACTERÍSTICAS ADICIONAIS: MEMÓRIA CACHE 256 MB, INTERFACE: SATA, VELOCIDADE: 5.900, VELOCIDADE TRANSFERÊNCIA: 6;UN;3,0000;810,3800;2431,1400;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;49;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;5995;CONJUNTOS DE CABOS, CORDÕES E FIOS ELÉTRICOS PARA  EQUIPAMENTOS DE COMUNICAÇÕES;4047;CABO EXTENSOR;379139;APLICAÇÃO: CÂMERA E CFTV, COMPRIMENTO: 30, TIPO SAÍDA: CONECTOR BNC X BNC;UN;50,0000;22,8200;1141,0000;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;50;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;5995;CONJUNTOS DE CABOS, CORDÕES E FIOS ELÉTRICOS PARA  EQUIPAMENTOS DE COMUNICAÇÕES;4047;CABO EXTENSOR;379139;APLICAÇÃO: CÂMERA E CFTV, COMPRIMENTO: 30, TIPO SAÍDA: CONECTOR BNC X BNC;UN;4,0000;151,7400;606,9600;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;51;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;9330;ARTIGOS DE PLÁSTICO;4149;CAIXA PLÁSTICA;458930;ALTURA: 7, APLICAÇÃO: LABORATÓRIO, CAPACIDADE: 7, COMPRIMENTO: 36,5, COR: PRETA, LARGURA: 26, MATERIAL: POLIPROPILENO, TIPO: ORGANIZADOR COM TAMPA;UN;15,0000;94,7900;1421,8500;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;52;Material;788000-14/2025;Material para restruturação de Rede;Catálogo do Compras.gov.br;Material;6130;CONVERSORES ELÉTRICOS ESTÁTICOS;7709;FONTE ALIMENTAÇÃO;342814;APLICAÇÃO: CÂMERA DE VIGILÂNCIA, CORRENTE SAÍDA: 2, TENSÃO SAÍDA: 12;UN;25,0000;22,5900;564,7500;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;56;Material;788000-15/2025;Material para sistema de comunicação.;Catálogo do Compras.gov.br;Material;6145;FIOS E CABOS ELÉTRICOS;4009;CABO ELÉTRICO FLEXÍVEL;616916;APLICAÇÃO: INSTALAÇÃO ELÉTRICA, COR DA COBERTURA: PRETA, COR DA ISOLAÇÃO: PRETA E AZUL, FORMAÇÃO DO CABO: 2 X 4, MATERIAL COBERTURA: PVC/ST5, MATERIAL DO CONDUTOR: COBRE ELETROLÍTICO, MATERIAL ISOLAMENTO: COMPOSTO TERMOPLASTICO POLIVINILICO TIPO PCV/D, NORMAS TÉCNICAS: ABNT NBR 247-5, CERTIFICAÇÃO COMPULSÓRIA INMETRO, TEMPERATURA OPERAÇÃO: 70, TENSÃO ISOLAMENTO: 300/500, TIPO: PP, TÊMPERA CONDUTOR: MOLE;PC;2,0000;354,5100;709,0200;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;57;Material;788000-15/2025;Material para sistema de comunicação.;Catálogo do Compras.gov.br;Material;6145;FIOS E CABOS ELÉTRICOS;7533;FIO ELETRICO;614173;BITOLA: 1,50, MATERIAL CONDUTOR: COBRE, MATERIAL ISOLAMENTO: TERMOPLÁSTICO ANTI-CHAMA, TENSÃO: 750, TIPO: RÍGIDO / PARALELO;RO;5,0000;237,3300;1186,6500;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;58;Material;788000-15/2025;Material para sistema de comunicação.;Catálogo do Compras.gov.br;Material;5830;SISTEMAS DE INTERCOMUNICAÇÃO E AMPLIFICAÇÃO DE  VOZ,  EXCETOOS DE AERONAVES;4111;CAIXA ACÚSTICA;259321;ALTURA: 419, CARACTERÍSTICAS ADICIONAIS: FULL RANGE COM 2 VIAS, IMPEDÂNCIA ENTRADA: 8, LARGURA: 228, POTÊNCIA: 300, POTÊNCIA NOMINAL: 20, PROFUNDIDADE: 298, RESISTÊNCIA ÔHMICA: 8, RESPOSTA FREQÜÊNCIA: 62 HZ A 20 KHZ, SENSIBILIDADE: 94, TAMANHO ALTO-FALANTE: 6, TIPO TWEETER: TITÂNIO;UN;5,0000;669,2100;3346,0500;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;59;Material;788000-15/2025;Material para sistema de comunicação.;Catálogo do Compras.gov.br;Material;5935;CONECTORES ELÉTRICOS;476;CONECTOR ADAPTAÇÃO TERMINAL;458561;CARACTERÍSTICA CONDUTOR: CABO 1,5MM2-2,5MM2 (16-14 AWG), CARACTERÍSTICAS ADICIONAIS: PRÉ ISOLADO, ALTA CONDUTIBILIDADE ELÉTRICA, MATERIAL: COBRE ELETROLÍTICO, TIPO FIXAÇÃO: POR COMPRESSÃO, TIPO ISOLAÇÃO: PVC RÍGIDO AZUL, TIPO TERMINAL: PINO, TRATAMENTO SUPERFICIAL: ESTANHADO;UN;3,0000;49,2600;147,7800;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;60;Material;788000-15/2025;Material para sistema de comunicação.;Catálogo do Compras.gov.br;Material;5830;SISTEMAS DE INTERCOMUNICAÇÃO E AMPLIFICAÇÃO DE  VOZ,  EXCETOOS DE AERONAVES;9574;MEGAFONE;605860;ALCANCE: 600, FUNÇÕES: MÚSICA/GRAVAÇÃO/REPRODUÇÃO, MATERIAL: PLÁSTICO ABS, POTÊNCIA: 30, TIPO: DE MÃO, VOLTAGEM: 12;UN;4,0000;219,6300;878,5200;0,0000;30/06/2025
COMANDO NAVAL DA AMAZONIA OCIDENTAL;788000;61;Material;788000-15/2025;Material para sistema de comunicação.;Catálogo do Compras.gov.br;Material;5975;FERRAGENS E SUPRIMENTOS DE ELETRICIDADE;4148;CAIXA PASSAGEM;426457;CARACTERÍSTICAS ADICIONAIS: FIXADA POR PARAFUSOS, COMPONENTES: TAMPA BRANCA,ENTRADAS DESTACÁVEIS P/ELETRODUTOS, DIMENSÕES: 310 X 330 X 75, GRAU PROTEÇÃO: IP40, MATERIAL: PVC, POSIÇÃO RELATIVA: SOBREPOR, REFERÊNCIA FABRICANTE: CPT-30 (TIGRE);UN;1,0000;82,2900;82,2900;0,0000;30/06/2025
