"noau_cd_id"|"stat_cd_id"|"noau_cd_om"|"noau_ds_assunto"|"noau_tx_numero_na"|"qtde_prorrogacoes"
5255|8|"1280"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1830-4/2023"|1
1401|1|"0050"|NOTA DE AUDITORIA - PATRIMÔNIO|"134-5/2023"|2
12704|1|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"3076-4/2024"|1
8709|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"987-4/2024"|3
2155|8|"1271"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"319-2/2023"|1
8600|1|"0383"|NOTA DE AUDITORIA - PATRIMÔNIO|"142-5/2024"|4
4199|8|"1069"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"983-1/2023"|1
6510|8|"1073"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2371-4/2023"|3
1341|1|"0665"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"595-4/2023"|1
8023|1|"0559"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"517-4/2024"|1
614|1|"1271"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"239-4/2023"|1
6989|1|"0574"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"126-4/2024"|1
6849|1|"0665"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"17-4/2024"|1
10419|1|"0292"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1717-4/2024"|1
9365|1|"1070"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"477-1/2024"|1
2472|8|"0557"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"996-4/2023"|1
8226|8|"1064"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"608-4/2024"|1
9442|8|"0190"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1281-4/2024"|1
5569|1|"1086"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"1316-1/2023"|1
5212|1|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1811-4/2023"|2
6767|1|"1075"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2475-4/2023"|1
11177|1|"0520"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2219-4/2024"|1
3624|8|"1025"|NOTA DE AUDITORIA - PATRIMÔNIO|"464-5/2023"|2
8233|8|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"615-4/2024"|17
11696|1|"1064"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2555-4/2024"|3
1168|1|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"483-4/2023"|1
11824|1|"1064"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"793-1/2024"|2
3067|8|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1172-4/2023"|8
6636|1|"1335"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"1553-1/2023"|1
9255|8|"1073"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1213-4/2024"|2
1674|1|"0570"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"690-4/2023"|1
9486|8|"0752"|NOTA DE AUDITORIA - PATRIMÔNIO|"191-5/2024"|2
2601|8|"1280"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1041-4/2023"|1
11590|8|"0149"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2505-4/2024"|2
806|8|"0307"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"371-4/2023"|1
11720|1|"0570"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2579-4/2024"|1
3492|1|"0555"|NOTA DE AUDITORIA - PATRIMÔNIO|"345-5/2023"|1
5212|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1811-4/2023"|7
10609|1|"0383"|NOTA DE AUDITORIA - PATRIMÔNIO|"364-5/2024"|1
10012|1|"0542"|NOTA DE AUDITORIA - MUNICIAMENTO|"561-6/2024"|1
3883|1|"0542"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"850-1/2023"|1
4749|1|"0542"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1660-4/2023"|2
6240|1|"0557"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2192-4/2023"|1
6988|8|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"125-4/2024"|19
6558|1|"0520"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2415-4/2023"|1
11852|8|"1069"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"816-1/2024"|1
1195|1|"1210"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"510-4/2023"|1
8201|8|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"583-4/2024"|2
6605|1|"0053"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"1541-1/2023"|1
2525|8|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1030-4/2023"|1
12930|8|"0662"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"84-4/2025"|1
7445|8|"0548"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"36-2/2024"|1
11680|8|"1070"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2539-4/2024"|1
11791|1|"1175"|NOTA DE AUDITORIA - ATOS DE PESSOAL|"30-8/2024"|1
3981|1|"1266"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1347-4/2023"|1
615|8|"1074"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"240-4/2023"|1
10142|1|"0053"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"642-1/2024"|1
8202|8|"1245"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"584-4/2024"|1
6515|8|"0559"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2376-4/2023"|1
7882|1|"0053"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"242-1/2024"|1
12982|8|"1031"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"136-4/2025"|1
2972|1|"1073"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"717-1/2023"|1
1145|1|"1073"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"460-4/2023"|1
8801|1|"0574"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"109-2/2024"|1
798|1|"1074"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"363-4/2023"|1
417|1|"1085"|NOTA DE AUDITORIA - PATRIMÔNIO|"1-5/2023"|1
3246|1|"0559"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1270-4/2023"|1
1023|1|"1251"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"179-1/2023"|2
10461|8|"1175"|NOTA DE AUDITORIA - ATOS DE PESSOAL|"3-8/2024"|1
6996|1|"0518"|NOTA DE AUDITORIA - PATRIMÔNIO|"3-5/2024"|2
6886|8|"1280"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"53-4/2024"|10
11040|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2089-4/2024"|6
504|8|"0210"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"51-2/2023"|1
7395|1|"0553"|NOTA DE AUDITORIA - MUNICIAMENTO|"61-6/2024"|1
2954|1|"0574"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1100-4/2023"|1
7690|1|"1064"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"354-4/2024"|2
10471|8|"1280"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1746-4/2024"|5
4459|1|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1551-4/2023"|2
6617|8|"1073"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2421-4/2023"|3
554|1|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"183-4/2023"|4
6419|1|"0053"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2280-4/2023"|2
11315|1|"0512"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2304-4/2024"|1
13331|1|"0521"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"414-4/2025"|1
5362|8|"0557"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1902-4/2023"|4
4565|1|"0542"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"1079-1/2023"|3
4106|1|"1251"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"571-2/2023"|1
1012|1|"0034"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"170-1/2023"|1
4113|8|"0791"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"576-2/2023"|1
5996|8|"1073"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2041-4/2023"|1
4957|1|"0790"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"690-2/2023"|3
5636|8|"0228"|NOTA DE AUDITORIA - MUNICIAMENTO|"447-6/2023"|1
9398|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1274-4/2024"|12
10009|1|"1215"|NOTA DE AUDITORIA - MUNICIAMENTO|"558-6/2024"|1
6548|1|"0053"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2405-4/2023"|8
6496|1|"0307"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2357-4/2023"|1
6127|1|"1042"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2127-4/2023"|1
5416|1|"0722"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"798-2/2023"|1
6058|1|"1215"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2085-4/2023"|1
8833|8|"0631"|NOTA DE AUDITORIA - MUNICIAMENTO|"336-6/2024"|1
1974|1|"0686"|NOTA DE AUDITORIA - MUNICIAMENTO|"117-6/2023"|1
12790|1|"0536"|NOTA DE AUDITORIA - PATRIMÔNIO|"20-5/2025"|1
5725|1|"0631"|NOTA DE AUDITORIA - PATRIMÔNIO|"842-5/2023"|2
7145|1|"0307"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"134-1/2024"|1
12270|1|"0520"|NOTA DE AUDITORIA - MUNICIAMENTO|"860-6/2024"|1
3334|8|"0631"|NOTA DE AUDITORIA - MUNICIAMENTO|"175-6/2023"|1
6560|1|"0002"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"889-2/2023"|1
4999|1|"0557"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1803-4/2023"|2
6418|8|"0004"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2279-4/2023"|1
317|1|"1271"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"83-4/2023"|1
10872|8|"0307"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2007-4/2024"|4
3760|1|"1301"|NOTA DE AUDITORIA - PATRIMÔNIO|"575-5/2023"|2
4314|8|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1429-4/2023"|1
7692|1|"0519"|NOTA DE AUDITORIA - MUNICIAMENTO|"149-6/2024"|1
10784|8|"0729"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"694-1/2024"|1
4718|8|"0542"|NOTA DE AUDITORIA - MUNICIAMENTO|"409-6/2023"|1
1480|8|"0590"|NOTA DE AUDITORIA - PATRIMÔNIO|"155-5/2023"|2
11141|1|"0559"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2184-4/2024"|1
9868|1|"1073"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"604-1/2024"|1
11546|1|"0519"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2464-4/2024"|3
6225|1|"1152"|NOTA DE AUDITORIA - PATRIMÔNIO|"922-5/2023"|2
11477|8|"1280"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2430-4/2024"|4
6168|1|"0570"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"1467-1/2023"|6
12133|1|"0587"|NOTA DE AUDITORIA - MUNICIAMENTO|"805-6/2024"|1
752|8|"0557"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"317-4/2023"|1
6425|1|"0686"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2286-4/2023"|1
7008|1|"1342"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"138-4/2024"|1
6137|1|"0560"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2135-4/2023"|1
7141|1|"1249"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"131-1/2024"|1
10687|1|"1249"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1878-4/2024"|1
7637|1|"0570"|NOTA DE AUDITORIA - MUNICIAMENTO|"116-6/2024"|2
3688|8|"1228"|NOTA DE AUDITORIA - PATRIMÔNIO|"520-5/2023"|1
10807|1|"1071"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"713-1/2024"|2
221|8|"0686"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"4-4/2023"|1
11047|8|"1271"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2096-4/2024"|1
5422|1|"0518"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"801-2/2023"|1
1855|1|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"768-4/2023"|1
10968|1|"0731"|NOTA DE AUDITORIA - PATRIMÔNIO|"438-5/2024"|1
4645|1|"0830"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1615-4/2023"|1
7739|8|"1069"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"234-1/2024"|1
7835|1|"0729"|NOTA DE AUDITORIA - MUNICIAMENTO|"268-6/2024"|1
698|1|"1073"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"268-4/2023"|2
7258|1|"0575"|NOTA DE AUDITORIA - MUNICIAMENTO|"6-6/2024"|1
10569|1|"0529"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1844-4/2024"|1
9352|8|"0630"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"465-1/2024"|1
8514|8|"1280"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"875-4/2024"|2
5981|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2026-4/2023"|2
2881|8|"0836"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"443-2/2023"|1
10491|1|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1766-4/2024"|1
12595|8|"1240"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2985-4/2024"|2
8363|1|"0570"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"745-4/2024"|1
11329|8|"0574"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2318-4/2024"|1
10593|1|"0292"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1868-4/2024"|1
288|1|"0526"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"11-2/2023"|1
10638|1|"0143"|NOTA DE AUDITORIA - PATRIMÔNIO|"390-5/2024"|1
10930|1|"1175"|NOTA DE AUDITORIA - ATOS DE PESSOAL|"6-8/2024"|1
13073|8|"1073"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"227-4/2025"|2
1243|8|"0557"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"553-4/2023"|1
3028|1|"0307"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1134-4/2023"|5
5977|1|"1105"|NOTA DE AUDITORIA - MUNICIAMENTO|"546-6/2023"|1
5860|1|"0025"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"1416-1/2023"|1
2693|1|"0648"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"545-1/2023"|1
8919|1|"0683"|NOTA DE AUDITORIA - MUNICIAMENTO|"416-6/2024"|1
8349|1|"0575"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"731-4/2024"|3
6841|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"9-4/2024"|1
6545|8|"0584"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2402-4/2023"|1
13071|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"225-4/2025"|3
11692|8|"1280"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2551-4/2024"|1
9532|8|"0292"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"151-2/2024"|1
3324|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1303-4/2023"|4
12425|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2850-4/2024"|2
13137|1|"1267"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"267-4/2025"|2
11775|1|"0559"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2618-4/2024"|1
3491|1|"0303"|NOTA DE AUDITORIA - PATRIMÔNIO|"344-5/2023"|5
8967|1|"0835"|NOTA DE AUDITORIA - MUNICIAMENTO|"464-6/2024"|3
4917|1|"0529"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1775-4/2023"|1
12673|1|"0292"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"3061-4/2024"|2
10152|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1566-4/2024"|2
7378|8|"0726"|NOTA DE AUDITORIA - MUNICIAMENTO|"44-6/2024"|1
7892|8|"1280"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"392-4/2024"|2
1392|1|"1074"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"631-4/2023"|1
6732|1|"0385"|NOTA DE AUDITORIA - PATRIMÔNIO|"967-5/2023"|2
2896|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1073-4/2023"|1
8939|1|"0384"|NOTA DE AUDITORIA - MUNICIAMENTO|"436-6/2024"|3
8232|8|"1072"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"614-4/2024"|1
4160|1|"0590"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"978-1/2023"|13
8349|8|"0575"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"731-4/2024"|1
3709|1|"1069"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"803-1/2023"|2
9773|8|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1475-4/2024"|1
3602|1|"1258"|NOTA DE AUDITORIA - PATRIMÔNIO|"443-5/2023"|1
5929|1|"0061"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"1447-1/2023"|1
8025|8|"0593"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"519-4/2024"|1
10559|1|"0053"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1834-4/2024"|1
2298|1|"1215"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"872-4/2023"|1
4032|1|"0574"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"943-1/2023"|1
7938|1|"0559"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"433-4/2024"|2
2638|1|"1280"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1047-4/2023"|1
7030|1|"0570"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"48-1/2024"|3
11293|8|"1271"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2285-4/2024"|2
9179|8|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1137-4/2024"|2
1724|8|"1096"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"708-4/2023"|1
12582|1|"0588"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2972-4/2024"|1
9085|1|"0004"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"392-1/2024"|1
5429|8|"1251"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"806-2/2023"|1
4171|1|"0542"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1394-4/2023"|1
11057|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2102-4/2024"|2
11729|8|"0004"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2588-4/2024"|1
891|1|"0268"|NOTA DE AUDITORIA - PATRIMÔNIO|"75-5/2023"|1
5840|1|"0529"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1996-4/2023"|1
11269|1|"1175"|NOTA DE AUDITORIA - ATOS DE PESSOAL|"12-8/2024"|2
13524|1|"1070"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"62-1/2025"|1
7865|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"366-4/2024"|4
648|1|"0686"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"36-1/2023"|1
12679|8|"0525"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"950-1/2024"|1
9289|1|"1267"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1246-4/2024"|1
13322|1|"0507"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"405-4/2025"|1
7873|8|"0292"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"374-4/2024"|1
10919|1|"0053"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2054-4/2024"|8
13162|8|"0002"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"281-4/2025"|1
4725|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1641-4/2023"|5
7482|8|"0542"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"266-4/2024"|2
12715|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"3086-4/2024"|2
12934|1|"0686"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"88-4/2025"|1
11043|1|"1251"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2092-4/2024"|8
11147|8|"0574"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2190-4/2024"|1
4769|1|"0053"|NOTA DE AUDITORIA - MUNICIAMENTO|"421-6/2023"|1
7243|1|"0631"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"172-4/2024"|5
9315|1|"0053"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"438-1/2024"|1
8863|1|"0570"|NOTA DE AUDITORIA - MUNICIAMENTO|"360-6/2024"|4
11709|8|"1271"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2568-4/2024"|1
3056|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1162-4/2023"|24
1219|1|"1073"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"534-4/2023"|1
9198|8|"0557"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1156-4/2024"|1
12859|1|"0053"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"14-4/2025"|2
5196|1|"0525"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"1197-1/2023"|1
1616|8|"0836"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"219-2/2023"|2
6110|8|"1215"|NOTA DE AUDITORIA - PATRIMÔNIO|"896-5/2023"|1
11249|1|"0557"|NOTA DE AUDITORIA - PATRIMÔNIO|"499-5/2024"|1
5852|1|"1210"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"827-2/2023"|1
3334|1|"0631"|NOTA DE AUDITORIA - MUNICIAMENTO|"175-6/2023"|5
3586|1|"1150"|NOTA DE AUDITORIA - PATRIMÔNIO|"427-5/2023"|1
7250|1|"0631"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"179-4/2024"|10
8636|1|"1064"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"330-1/2024"|1
12972|1|"0559"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"126-4/2025"|1
11364|1|"0307"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2351-4/2024"|1
6120|1|"0685"|NOTA DE AUDITORIA - PATRIMÔNIO|"898-5/2023"|1
6020|8|"1280"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2059-4/2023"|3
12475|1|"1328"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2900-4/2024"|1
4949|8|"1280"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1788-4/2023"|3
5850|1|"1072"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"1410-1/2023"|2
486|1|"1175"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"172-4/2023"|1
1535|1|"0520"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"265-1/2023"|1
